method,image_rel,gt,pred,confidence_basecsv,ned,accuracy,sigma,ssim,tenengrad,delta_mu,contrast_pr,contrast_gain,key,idx,filename,sharp_score,low_light_score,contrast_score,noise_score
baseline,0_Tiredness.png,Tiredness,tiredness,0.6096094250679016,0.8888888888888888,0,28.573249000638977,0.0,172222848.0,0.0,0.2980392156862745,0.0,0_Tiredness.png,0,0_Tiredness.png,0.7547485872267922,0.3547211289856426,0.2980392127058824,0.0446072530154642
baseline,1_kills.png,kills,kills,0.4491665959358215,1.0,1,28.563376788397683,0.0,101132526.0,0.0,0.2666666666666666,0.0,1_kills.png,1,1_kills.png,0.8053674342650881,0.3379413759613464,0.266666664,0.0448248740846968
baseline,2_A.png,A,a,0.6409342885017395,0.0,0,30.268275239133395,0.0,24509782.0,0.0,0.3333333333333333,0.0,2_A.png,2,2_A.png,0.6616876517498138,0.4050423543563538,0.3294117614117647,0.0523062573368575
baseline,3_short.png,short,shorie,0.0121274208649992,0.6666666666666667,0,21.724922046483872,0.0,86903900.0,0.0,0.2274509803921568,0.0,3_short.png,3,3_short.png,0.7493831386566213,0.3453315654302894,0.227450978117647,0.0465350609583096
baseline,4_break.png,break,bfeak,0.0216687768697738,0.8,0,23.798125492293632,0.0,113259942.0,0.0,0.2549019607843137,0.0,4_break.png,4,4_break.png,0.7551399710575235,0.3627527577239265,0.2549019582352941,0.0460356304797223
baseline,5_could.png,could,could,0.4400543570518493,1.0,1,29.73614187135516,0.0,120211310.0,0.0,0.2901960784313726,0.0,5_could.png,5,5_could.png,0.7403788683415743,0.4531170663474934,0.2862745069411765,0.0493539679153463
baseline,6_save.png,save,savc,0.48495614528656,0.75,0,20.7330327044284,0.0,90964412.0,0.0,0.2078431372549019,0.0,6_save.png,6,6_save.png,0.753484540089188,0.4030767904260839,0.2039215665882353,0.046537983922102
baseline,7_your.png,your,youf,0.1118109151721,0.75,0,17.537490817020867,0.0,57938588.0,0.0,0.1647058823529411,0.0,7_your.png,7,7_your.png,0.7272013060692897,0.4242794406763197,0.1686274492941177,0.0456112567314163
baseline,8_life.png,life,life,0.2450524568557739,1.0,1,18.850227599571205,0.0,61381434.0,0.0,0.1764705882352941,0.0,8_life.png,8,8_life.png,0.723263701924679,0.4172398585751193,0.1764705864705882,0.0479831017062817
baseline,9_8.png,8,8,0.6275483965873718,1.0,1,49.87479196823335,0.0,94483348.0,0.0,0.4901960784313725,0.0,9_8.png,9,9_8.png,0.7884964584840028,0.5139354697598248,0.4941176421176471,0.2523800018662614
baseline,10_H.png,H,ha,0.0348937064409256,0.0,0,53.5216122985148,0.0,590740100.0,0.0,0.5058823529411764,0.0,10_H.png,10,10_H.png,0.8034634088330189,0.5324172084367168,0.5019607792941178,0.1324295215756304
baseline,11_319.png,319,3sy,0.1331293433904647,0.3333333333333333,0,45.26328479505742,0.0,63451034.0,0.0,0.4913725490196076,0.0,11_319.png,11,11_319.png,0.7172973920243572,0.4506418728585624,0.4941176421176471,0.2380772044369024
baseline,12_10.png,10,bo,0.1765441298484802,0.0,0,44.39665509673116,0.0,101529494.0,0.0,0.4784313725490196,0.0,12_10.png,12,12_10.png,0.7335826584451984,0.4442773076801933,0.4784313677647059,0.1516122430031011
baseline,13_Royal.png,Royal,rave,0.0002090770140057,0.0,0,52.52529344716942,0.0,607385622.0,0.0,0.5411764705882353,0.0,13_Royal.png,13,13_Royal.png,0.8059482907986869,0.4273548263994836,0.5372548965882353,0.1414457064880973
baseline,14_London.png,London,longon,0.0161596201360225,0.6666666666666667,0,53.030634549147855,0.0,510656368.0,0.0,0.5607843137254902,0.0,14_London.png,14,14_London.png,0.8015296490276941,0.4068202418299255,0.5607843081176471,0.1266845578311209
baseline,15_Saeco.png,Saeco,saeco,0.9834592938423156,0.8,0,43.24515041077087,0.0,131051312.0,0.0,0.4235294117647059,0.0,15_Saeco.png,15,15_Saeco.png,0.7243582179256188,0.6942551170858382,0.4235294075294118,0.0514255160854266
baseline,16_R.png,R,a,0.0788524746894836,0.0,0,18.078446113649203,0.0,2614726.0,0.0,0.192156862745098,0.0,16_R.png,16,16_R.png,0.6681519511135087,0.7326181280505748,0.1960784294117647,0.0814372677293635
baseline,17_ENT.png,ENT,ente,0.1559780091047287,0.0,0,16.32554989549035,0.0,7901274.0,0.0,0.1686274509803921,0.0,17_ENT.png,17,17_ENT.png,0.650999809072805,0.3354719528696307,0.1686274492941177,0.0888356887949435
baseline,18_ESC.png,ESC,esc,0.2978695631027221,0.0,0,17.04651801230283,0.0,6981098.0,0.0,0.1803921568627451,0.0,18_ESC.png,18,18_ESC.png,0.6251740256483641,0.344919966330827,0.1764705864705882,0.0795103281548739
baseline,19_Betriebsbereit.png,Betriebsbereit,etriebsbereit,0.029906328767538,0.9285714285714286,0,18.093838246548724,0.0,44258126.0,0.0,0.1686274509803921,0.0,19_Betriebsbereit.png,19,19_Betriebsbereit.png,0.7307861438760487,0.5472962302830259,0.1647058807058823,0.0595245420500549
baseline,20_Produkt.png,Produkt,procukt,0.0166186615824699,0.7142857142857143,0,11.780932444838225,0.0,17605406.0,0.0,0.1215686274509803,0.0,20_Produkt.png,20,20_Produkt.png,0.7067856395644605,0.6076284968216774,0.1215686262352941,0.0573269458362963
baseline,21_wahlen.png,wahlen,wahler,0.1705566644668579,0.8333333333333334,0,12.053103463423191,0.0,17730176.0,0.0,0.1294117647058823,0.0,21_wahlen.png,21,21_wahlen.png,0.7109179090338484,0.5768481181209896,0.1254901948235294,0.0599369031341436
baseline,22_hungry.png,hungry,hungryt,0.1206819340586662,0.8571428571428572,0,50.37816147389656,0.0,701231558.0,0.0,0.4784313725490196,0.0,22_hungry.png,22,22_hungry.png,0.8096384644874423,0.5183699517939889,0.4784313677647059,0.1893163624736516
baseline,23_on.png,on,on,0.050236627459526,1.0,1,33.201716006581655,0.0,9105142.0,0.0,0.304705882352941,0.0,23_on.png,23,23_on.png,0.6382115661161087,0.3905927155103217,0.3050980361647059,0.2945586707566514
baseline,24_my.png,my,m,0.0384412072598934,0.5,0,51.64247657057275,0.0,25614862.0,0.0,0.4843137254901961,0.0,24_my.png,24,24_my.png,0.7311438378435859,0.589883957348295,0.4823529363529412,0.2525747332711063
baseline,25_Campus.png,Campus,campus,0.5283603668212891,0.8333333333333334,0,42.70578527476245,0.0,820986922.0,0.0,0.4,0.0,25_Campus.png,25,25_Campus.png,0.8192886641744704,0.4294464165550375,0.4039215645882353,0.0576157297715852
baseline,26_Shop.png,Shop,shop,0.949855625629425,0.75,0,50.42392938506279,0.0,703265338.0,0.0,0.4431372549019607,0.0,26_Shop.png,26,26_Shop.png,0.8037885007818032,0.4663628018048122,0.4431372504705883,0.0614505380580452
baseline,27_Yarmouth.png,Yarmouth,yarmouth,0.8793950080871582,0.875,0,50.208535534615,0.0,332832514.0,0.0,0.5098039215686274,0.0,27_Yarmouth.png,27,27_Yarmouth.png,0.8117864074264288,0.2563332716772709,0.5098039164705883,0.0953109346185566
baseline,28_Ipswich.png,Ipswich,ipswich,0.6737176179885864,0.8571428571428572,0,48.95903220621637,0.0,256792388.0,0.0,0.5392156862745098,0.0,28_Ipswich.png,28,28_Ipswich.png,0.7893435215354562,0.2987774180300123,0.5372548965882353,0.1387998233813587
baseline,29_Harwich.png,Harwich,harwich,0.6627236604690552,0.8571428571428572,0,46.46345602692457,0.0,308913978.0,0.0,0.4980392156862745,0.0,29_Harwich.png,29,29_Harwich.png,0.8067690733611765,0.31145635796094,0.4941176421176471,0.1537675516220375
baseline,30_Clacton.png,Clacton,clacton,0.6404694318771362,0.8571428571428572,0,47.54629429938496,0.0,320540456.0,0.0,0.4392156862745098,0.0,30_Clacton.png,30,30_Clacton.png,0.8295143378825592,0.4077521999982115,0.4431372504705883,0.2029488083859073
baseline,31_A133.png,A133,a133,0.9800289869308472,0.75,0,51.80910740234162,0.0,227005352.0,0.0,0.4823529411764706,0.0,31_A133.png,31,31_A133.png,0.7989046454980153,0.4513639727712633,0.4784313677647059,0.220666793999215
baseline,32_GREEK.png,GREEK,greek,0.8717154860496521,0.0,0,33.941465865739296,0.0,620139082.0,0.0,0.3568627450980392,0.0,32_GREEK.png,32,32_GREEK.png,0.9060725045448385,0.2408808293824869,0.3568627415294118,0.1772802373474334
baseline,33_COOKERY.png,COOKERY,cookery,0.8891811370849609,0.0,0,40.92489642961953,0.0,665112116.0,0.0,0.4117647058823529,0.0,33_COOKERY.png,33,33_COOKERY.png,0.8324926263299591,0.2663952429770361,0.4117647017647059,0.2035660361774165
baseline,34_WINES.png,WINES,wines,0.7125786542892456,0.0,0,37.79937976234199,0.0,400244130.0,0.0,0.388235294117647,0.0,34_WINES.png,34,34_WINES.png,0.8037364392472832,0.2440101739398164,0.3843137216470589,0.1764970561750543
baseline,35_LOCAL.png,LOCAL,local,0.7921357154846191,0.0,0,23.159473813122524,0.0,24875886.0,0.0,0.2274509803921568,0.0,35_LOCAL.png,35,35_LOCAL.png,0.8816672675363367,0.2572012358180805,0.2278431349764706,0.3593572313853426
baseline,36_SPECIALTIES.png,SPECIALTIES,specialties,0.4167447090148926,0.0,0,23.42401809842195,0.0,50372716.0,0.0,0.2352941176470588,0.0,36_SPECIALTIES.png,36,36_SPECIALTIES.png,0.7435559876676738,0.2544891615417957,0.2352941152941176,0.3326256964454858
baseline,37_FESTIVE.png,FESTIVE,festive,0.2969653010368347,0.0,0,23.32244635133734,0.0,29547298.0,0.0,0.2392156862745098,0.0,37_FESTIVE.png,37,37_FESTIVE.png,0.8888975491689127,0.2523649549950465,0.2392156838823529,0.3469300849475976
baseline,38_RECIPES.png,RECIPES,recupes,0.5358511209487915,0.0,0,25.011303904208987,0.0,37646714.0,0.0,0.2592156862745098,0.0,38_RECIPES.png,38,38_RECIPES.png,0.7093278403445106,0.2645365392441177,0.2627450954117648,0.3529209763428007
baseline,39_ILLUSTRATED.png,ILLUSTRATED,illustraved,0.2276218235492706,0.0,0,39.58017882863239,0.0,84862038.0,0.0,0.3843137254901961,0.0,39_ILLUSTRATED.png,39,39_ILLUSTRATED.png,0.7805463268319588,0.3174564436465882,0.3843137216470589,0.2618810573240239
baseline,40_e.png,e,e,0.2206889241933822,1.0,1,11.773968409630177,0.0,3748364.0,0.0,0.1098039215686274,0.0,40_e.png,40,40_e.png,0.6855108413626532,0.1534417876812683,0.1058823518823529,0.0515850340558734
